X,Y,OBJECTID,BearID,ReportDate,SubType,RoadDate,Region,BMU,County,Locale,ZipCode,Latitude,Longitude,OrigCap,Sex,AgeClass,Weight,Age,Cubs,Yearlings,LEarTag1,LEarTag2,REarTag1,REarTag2,Tattoo1,Tattoo2,TrackNum,last_edited_date
565197.402399998,610927.6393,44894,Bear-0000009026,2011/05/17 00:00:00+00,Carcass,2011/05/17 00:00:00+00,North Central,Central,Alachua, ,32667,29.494719,-82.293481,Yes,Male,Adult,120,3, , , , , , , ,0,36950,
564649.678100001,692918.6997,44895,Bear-0000019414,2019/01/25 00:00:00+00,Carcass,2019/01/25 00:00:00+00,North Central,North,Baker, ,32087,30.233282,-82.287376, ,Male,Juvenile,250,2, , , , , , , ,0, ,
564374.043499999,724749.6275,44896,Bear-0000018004,2016/09/08 00:00:00+00,Carcass,2016/09/08 00:00:00+00,North Central,North,Baker, ,32087,30.5201,-82.28564, ,Female,Adult,130,5,1, , , , , , ,0, ,
565403.6162,693158.7495,44897,Bear-0000017189,2015/12/05 00:00:00+00,Carcass,2015/12/05 00:00:00+00,North Central,North,Baker, ,32040,30.23535,-82.2795, ,Male,Adult,245,3, , , , , , , ,0, ,
565665.8048,693180.1712,44898,Bear-0000018916,2018/04/26 00:00:00+00,Carcass,2018/04/26 00:00:00+00,North Central,North,Baker, ,32040,30.23551,-82.27677, ,Male,Adult,250,4, , , , , , , ,0, ,
566199.116799999,723915.0261,44899,Bear-0000011871,1998/11/01 00:00:00+00,Carcass,1998/11/01 00:00:00+00,North Central,North,Baker, ,0,30.51235,-82.26673, ,Female,Adult,215,9,0,0, , , , , ,0, ,
566931.456,693566.7897,44900,Bear-0000009027,2011/05/15 00:00:00+00,Carcass,2011/05/15 00:00:00+00,North Central,North,Baker,OTHER,0,30.238833,-82.26355, ,Male,Juvenile,140,2, , , , , , , ,0, ,
567124.528000001,693641.1071,44901,Bear-0000019785,2019/10/05 00:00:00+00,Carcass,2019/10/05 00:00:00+00,North Central,North,Baker, ,32040,30.239478,-82.261531,Yes,Female,Adult,170,0,0,0, , , , , ,0, ,
567295.748199999,693710.3461,44902,Bear-0000017552,2016/06/21 00:00:00+00,Carcass,2016/06/21 00:00:00+00,North Central,North,Baker, ,32040,30.24008,-82.25974, ,Male,Juvenile,168,2, , , , , , , ,0, ,
566968.971700002,723727.2127,44903,Bear-0000017186,2015/11/06 00:00:00+00,Carcass,2015/11/06 00:00:00+00,North Central,North,Baker, ,32087,30.51056,-82.25873, ,Male,Cub,36,0.75, , , , , , , ,0, ,
567162.237500001,711808.7826,44904,Bear-0000008707,2005/06/09 00:00:00+00,Carcass,2005/06/09 00:00:00+00,North Central,North,Baker,OTHER,0,30.40315,-82.25847, ,Male,Juvenile,75,0, , , , , , , ,0, ,
569707.6578,558216.4625,44905,Bear-0000021522,2023/03/01 00:00:00+00,Carcass,2023/03/01 00:00:00+00,Northeast,Central,Marion, ,34481,29.019496,-82.254602,Yes,Female,Juvenile,100,0, , , , , , , ,0, ,
569722.861000001,561757.6731,44906,Bear-0000019305,2018/11/30 00:00:00+00,Carcass,2018/11/30 00:00:00+00,Northeast,Central,Marion, ,34481,29.05138,-82.25393, ,Female,Cub,105,0.83,0,0, , , , , ,0, ,
569737.692000002,561740.1138,44907,Bear-0000018839,2017/12/21 00:00:00+00,Carcass,2017/12/22 00:00:00+00,Northeast,Central,Marion, ,34481,29.05122,-82.25378, ,Female,Juvenile,140,0,0,0, , , , , ,0, ,
569902.655400001,559497.9573,44908,Bear-0000020501,2021/03/25 00:00:00+00,Carcass,2021/03/26 00:00:00+00,Northeast,Central,Marion,Marion Oaks,34473,29.03101,-82.25241,Yes,Female,Juvenile,95,1,0,0, , , , , ,0, ,
567783.158399999,711009.5484,44909,Bear-0000018095,2016/12/16 00:00:00+00,Carcass,2016/12/16 00:00:00+00,North Central,North,Baker, ,32040,30.39587,-82.25212, ,Male,Juvenile,90,1, , , , , , , ,0, ,
568292.9749,705400.4924,44910,Bear-0000008732,2005/11/18 00:00:00+00,Carcass,2005/11/18 00:00:00+00,North Central,North,Baker,OTHER,0,30.34527,-82.24764, ,Female,Adult,0,0, , , , , , , ,0, ,
568483.5955,694016.8878,44911,Bear-0000018011,2016/10/28 00:00:00+00,Carcass,2016/10/28 00:00:00+00,North Central,North,Baker, ,32040,30.24269,-82.24734, ,Unknown,Unknown,0,0, , , , , , , ,0, ,
568447.2982,710161.2319,44912,Bear-0000018898,2018/04/05 00:00:00+00,Carcass,2018/04/05 00:00:00+00,North Central,North,Baker, ,32063,30.388142,-82.245328, ,Male,Juvenile,185,2, , , , , , , ,0, ,
568750.716499999,706575.7885,44913,Bear-0000018009,2016/11/09 00:00:00+00,Carcass,2016/11/09 00:00:00+00,North Central,North,Baker, ,32087,30.3558,-82.2427, ,Female,Adult,180,6,0,0, , , , , ,0, ,
568834.587099999,711515.8609,44914,Bear-0000019401,2019/01/08 00:00:00+00,Carcass,2019/01/08 00:00:00+00,North Central,North,Baker, ,32087,30.400297,-82.241093, ,Unknown,Cub,50,0, , , , , , , ,0, ,
569968.982500002,694469.3627,44915,Bear-0000021642,2023/06/14 00:00:00+00,Carcass,2023/06/14 00:00:00+00,North Central,North,Baker, ,32087,30.2465752,-82.2318228,Yes,Male,Adult,200,0, , , , , , , ,0, ,
570136.737300001,694522.2535,44916,Bear-0000008797,2007/04/30 00:00:00+00,Carcass,2007/04/29 00:00:00+00,North Central,North,Baker,OTHER,32072,30.24703,-82.23007, ,Male,Adult,120,9, , , , , , ,none,0, ,
569999.712299999,712227.4579,44917,Bear-0000009123,2012/11/17 00:00:00+00,Carcass,2012/11/17 00:00:00+00,North Central,North,Baker,OTHER,0,30.406558,-82.22885, ,Female,Adult,235,14, , , , , , , ,0,45877,
570012.817899998,713212.9154,44918,Bear-0000007551,2010/11/12 00:00:00+00,Carcass,2010/11/12 00:00:00+00,North Central,North,Baker,OTHER,32087,30.415435,-82.228566, ,Female,Adult,300,0, , , , ,C117, , ,0,29468,
571401.948199999,639115.5607,44919,Bear-0000009212,2013/11/23 00:00:00+00,Carcass,2013/11/24 00:00:00+00,North Central,Central,Alachua, ,0,0,0, , , ,0,0, , , , , , , ,0, ,
571302.649500001,664396.0382,44920,Bear-0000021422,2022/12/06 00:00:00+00,Carcass,2022/12/03 00:00:00+00,North Central,Central,Bradford, ,32622,29.9755,-82.22246,Yes,Male,Juvenile,133,2, , , , , , , ,0, ,
571643.256700002,664243.5267,44921,Bear-0000020636,2021/09/07 00:00:00+00,Carcass,2021/09/07 00:00:00+00,North Central,Central,Bradford, ,32054,29.974082,-82.218949,Yes,Male,Juvenile,75,1, , , , , , , ,0, ,
573386.085900001,591914.8648,44922,Bear-0000018311,2017/05/06 00:00:00+00,Carcass,2017/05/06 00:00:00+00,Northeast,Central,Marion, ,32686,29.32246,-82.21175, ,Male,Adult,310,3,0,0, , , , , ,0, ,
576588.247000001,374859.5389,44923,Bear-0000016701,2015/06/20 00:00:00+00,Carcass,2015/06/20 00:00:00+00,Southwest,South Central,Manatee, ,34251,27.3677,-82.2112, ,Male,Juvenile,143,2, , , , , , , ,0, ,
573173.052000001,640659.8827,44924,Bear-0000009281,2014/12/14 00:00:00+00,Carcass,2014/12/14 00:00:00+00,North Central,Central,Alachua,OTHER,0,29.761467,-82.206636, ,Male,Adult,275,2, , , , , , , ,0,61400,
573194.0099,640785.9866,44925,Bear-0000011705,1998/03/11 00:00:00+00,Carcass,1998/03/11 00:00:00+00,North Central,Central,Alachua, ,0,29.7626,-82.2064, ,Male,Adult,492,5,0,0, , , , , ,0, ,
573697.826400001,641072.0155,44926,Bear-0000012669,2006/07/11 00:00:00+00,Carcass,2006/07/11 00:00:00+00,North Central,Central,Alachua,OTHER,0,29.76511,-82.20114, ,Male,Juvenile,205,2,0,0, , , , ,na,0, ,
573391.429200001,681682.7375,44927,Bear-0000020331,2020/11/24 00:00:00+00,Carcass,2020/11/24 00:00:00+00,North Central,North,Union, ,32083,30.1309412,-82.1981678,Yes,Male,Adult,425,3, , , , , , , ,0, ,
574967.884399999,622700.8443,44928,Bear-0000016665,2015/05/03 00:00:00+00,Carcass,2015/05/03 00:00:00+00,North Central,Central,Alachua, ,32640,29.59949,-82.19078, ,Male,Adult,560,3, , , , , , , ,0, ,
575247.8994,617663.7037,44929,Bear-0000010477,2000/10/04 00:00:00+00,Carcass,2000/10/04 00:00:00+00,North Central,Central,Alachua, ,0,29.55409,-82.18865, ,Male,Adult,260,0,0,0, , , , , ,0, ,
576214.705800001,574722.8238,44930,Bear-0000014041,2014/09/24 00:00:00+00,Carcass,2014/09/24 00:00:00+00,Northeast,Central,Marion,OTHER,34474,29.167279,-82.18519, ,Male,Juvenile,200,1,0,0, , , , , ,0,58633,
577253.924199998,560200.7904,44931,Bear-0000020541,2021/05/24 00:00:00+00,Carcass,2021/05/25 00:00:00+00,Northeast,Central,Marion, ,34473,29.03638,-82.1767,Yes,Male,Cub,18,0, , , , , , , ,0, ,
576404.965999998,622483.1586,44932,Bear-0000018553,2017/09/18 00:00:00+00,Carcass,2017/09/18 00:00:00+00,North Central,Central,Alachua, ,32640,29.5973389,-82.1759556, ,Male,Juvenile,200,2, , , , , , , ,0, ,
