X,Y,OBJECTID,IncidentID,ReportDate,CapDate,Region,BMU,County,Locale,City,ZipCode,Latitude,Longitude,CapReason,OCapReason,NCapReason,CapMethod,OrigCap,FinAction,OFinAction,Sex,AgeClass,Weight,Age,Cubs,Yearlings,LEarTag1,LEarTag2,REarTag1,REarTag2,Tattoo1,Tattoo2,TrackNum,last_edited_date
547849.535100002,716750.533,19283,,1996/06/07 00:00:00+00,1996/06/29 00:00:00+00,North Central,North,Columbia, , ,0,30.449991,-82.459008,Research, , ,Snare,Yes, , ,Male,Juvenile,200,3,0,0,214, , , ,214,0, ,
538930.214899998,711164.0315,19284,,1996/06/07 00:00:00+00,1996/06/30 00:00:00+00,North Central,North,Columbia, , ,0,30.40063,-82.552646,Research, , ,Snare,Yes, , ,Male,Juvenile,135,2,0,0,216, , , ,216,0, ,
134417.022599999,740020.6978,19285,,1994/11/07 00:00:00+00,1996/06/30 00:00:00+00,Northwest,West Panhandle,Okaloosa, , ,0,30.641102,-86.773225,Research, , ,Snare,No, , ,Male,Juvenile,110,1.5,0,0, , , , ,23 /23,0, ,
541812.0407,718094.1152,19286,,1996/06/07 00:00:00+00,1996/07/08 00:00:00+00,North Central,North,Columbia, , ,0,30.462763,-82.521761,Research, , ,Snare,Yes, , ,Female,Cub,55,1,0,0, , ,217, ,217,0, ,
531537.5189,720205.3675,19287,,1996/06/07 00:00:00+00,1996/07/26 00:00:00+00,North Central,North,Columbia, , ,0,30.482856,-82.628608,Research, , ,Snare,Yes, , ,Female,Juvenile,115,3,0,0, , ,228, ,228,0, ,
540342.853100002,714561.257,19288,,1996/06/07 00:00:00+00,1996/07/26 00:00:00+00,North Central,North,Columbia, , ,0,30.431089,-82.537511,Research, , ,Snare,No, , ,Male,Adult,320,3,0,0,209, , , ,209,0, ,
543230.8761,717789.7993,19289,,1996/06/07 00:00:00+00,1996/07/26 00:00:00+00,North Central,North,Columbia, , ,0,30.459867,-82.507011,Research, , ,Snare,Yes, , ,Female,Juvenile,70,1,0,0, , ,227, ,227,0, ,
126372.5374,734047.6607,19290,,1994/11/07 00:00:00+00,1996/07/27 00:00:00+00,Northwest,West Panhandle,Santa Rosa, , ,0,30.585633,-86.855752,Research, , ,Snare,Yes, , ,Female,Juvenile,95,3.5,0,0,27, ,27, ,27,0, ,
532487.797200002,720602.2999,19291,,1996/06/07 00:00:00+00,1996/07/29 00:00:00+00,North Central,North,Columbia, , ,0,30.486337,-82.618655,Research, , ,Snare,Yes, , ,Male,Adult,325,6,0,0,229, , , ,229,0, ,
533700.489100002,719213.1381,19292,,1996/06/07 00:00:00+00,1996/07/30 00:00:00+00,North Central,North,Columbia, , ,0,30.473697,-82.606176,Research, , ,Snare,Yes, , ,Male,Juvenile,100,1,0,0,230, , , ,230,0, ,
120377.040199999,728023.9096,19293,,1994/11/07 00:00:00+00,1996/08/12 00:00:00+00,Northwest,West Panhandle,Santa Rosa, , ,0,30.5301,-86.916815,Research, , ,Snare,Yes, , ,Female,Juvenile,100,2.5,0,0,28, ,28, ,28,0, ,
